,pep1,pep2,pep3,pep4,pep1_2,pep2_2,pep3_2,pep4_2,pep1_indiv,pep2_indiv,pep3_indiv,pep4_indiv,pep5_indiv,pep6_indiv,pep7_indiv,pep8_indiv,pep1_2_indiv,pep2_2_indiv,pep3_2_indiv,pep4_2_indiv,pep5_2_indiv,pep6_2_indiv,pep7_2_indiv,pep8_2_indiv
215,7,10,8,11,7,2,12,5,7,12,10,8,12,7,7,8,9,12,1,12,7,7,12,7
216,7,10,8,11,7,2,12,5,7,12,10,8,12,7,7,8,9,12,1,12,7,7,12,7
217,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
218,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
219,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
220,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
221,7,7,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
222,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
223,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
224,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
225,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,10
226,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,6,12,1,12,7,7,12,7
227,7,10,8,11,7,2,12,5,7,12,7,8,12,7,7,8,9,12,1,12,7,7,12,7
228,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
229,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
230,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,8
231,7,10,8,11,7,2,12,5,7,12,10,12,12,7,7,8,9,12,1,12,7,7,12,7
232,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
233,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
234,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
235,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
236,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
237,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
238,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,10,9,12,1,12,7,7,12,7
239,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,12,9,12,1,12,7,7,12,7
240,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
241,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,10
242,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,12,9,12,1,12,7,7,12,7
243,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,12,9,12,1,12,7,7,12,7
244,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,12,9,12,1,12,7,7,12,7
245,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,8,9,12,1,12,7,7,12,7
246,7,10,8,11,7,2,12,5,7,12,10,12,12,7,7,12,9,12,1,12,7,7,12,7
247,7,10,8,11,7,2,12,5,7,12,7,12,12,7,7,12,9,12,1,12,7,7,12,7
248,7,10,8,11,7,2,12,5,7,12,10,12,12,7,7,12,9,12,1,12,7,7,12,7
249,7,10,8,11,7,2,12,5,7,12,10,12,12,7,7,8,9,12,1,12,7,7,12,7
